title,link,square_meters,rooms,price,date,district
KARACA 'dan PAŞAKÖŞKÜ'NDE HASARSIZ 3+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-karaca-dan-pasakosku-nde-hasarsiz-3-plus1-daire-1121296974/detay,170,3+1,2400000,13 Ocak 2024,BattalgaziMerkez
KARACA'dan--­PAŞAKÖŞKÜNDE 4 YILLIK 3+1 ARA KAT,https://www.sahibinden.com/ilan/emlak-konut-satilik-karaca-dan-pasakoskunde-4-yillik-3-plus1-ara-kat-1124085964/detay,145,3+1,2500000,13 Ocak 2024,BattalgaziMerkez
KARAGÖZ TOKİ'DE SAHİBİNDEN,https://www.sahibinden.com/ilan/emlak-konut-satilik-karagoz-toki-de-sahibinden-1141267149/detay,120,3+1,1950000,13 Ocak 2024,YeşilyurtMerkez
VakıfBank'tan Satılık 3+1 Daire,https://www.sahibinden.com/ilan/emlak-konut-satilik-vakifbank-tan-satilik-3-plus1-daire-1049705947/detay,140,3+1,2300000,16 Ocak 2024,YeşilyurtMerkez
RWden YAVUZ SELİM MAHALLESİNDE SİTE İÇERİSİNDE SATILIK SIFIR 3+1,https://www.sahibinden.com/ilan/emlak-konut-satilik-rwden-yavuz-selim-mahallesinde-site-icerisinde-satilik-sifir-3-plus1-1110467265/detay,160,3+1,2250000,14 Ocak 2024,YeşilyurtMerkez
"TECDE'DE KALİTE VE KONFORUN BULUŞTUĞU LÜKS SATILIK 4,5+1 DAİRE.","https://www.sahibinden.com/ilan/emlak-konut-satilik-tecde-de-kalite-ve-konforun-bulustugu-luks-satilik-4,5-plus1-daire-1147548566/detay",235,4.5+1,4950000,13 Ocak 2024,YeşilyurtMerkez
İK GAYRİMENKUL DEN ZAVİYE MAHALLESİNDE SATILIK 2+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-ik-gayrimenkul-den-zaviye-mahallesinde-satilik-2-plus1-daire-1136060198/detay,135,2+1,1050000,13 Ocak 2024,YeşilyurtMerkez
Sahibinden Satılık 4+1 daire TANDOĞAN,https://www.sahibinden.com/ilan/emlak-konut-satilik-sahibinden-satilik-4-plus1-daire-tandogan-1123951179/detay,225,4+1,3515000,13 Ocak 2024,BattalgaziMerkez
SAHİBİNDEN TEMİZ DAİRE.CANBAYLAR İNŞAAT YAPIMLI.,https://www.sahibinden.com/ilan/emlak-konut-satilik-sahibinden-temiz-daire.canbaylar-insaat-yapimli-1110026450/detay,185,3+1,2985000,13 Ocak 2024,BattalgaziMerkez
BTR GAYRIMENKULDEN ACIL SATILIK 2+1DAIRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-btr-gayrimenkulden-acil-satilik-2-plus1daire-1131174956/detay,95,2+1,1175000,14 Ocak 2024,YeşilyurtMerkez
"Bostanbaşı Liva Konakları, sahibinden satılık. Site içerisinde",https://www.sahibinden.com/ilan/emlak-konut-satilik-bostanbasi-liva-konaklari-sahibinden-satilik-site-icerisinde-1119854204/detay,210,3+1,3500000,13 Ocak 2024,Yeşilyurt
Kasar inşaattan temelde 3+1 daireler,https://www.sahibinden.com/ilan/emlak-konut-satilik-kasar-insaattan-temelde-3-plus1-daireler-1099193446/detay,135,3+1,2250000,16 Ocak 2024,BattalgaziMerkez
EMRAH ÖZTÜRKMENDEN ORDUZU DA 3+1 ARA KAT DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-emrah-ozturkmenden-orduzu-da-3-plus1-ara-kat-daire-1122463283/detay,155,3+1,2275000,13 Ocak 2024,BattalgaziMerkez
NAZİF GAYRİMENKUL DEN BEYDAĞI TOKİDE SATILIK 2+1,https://www.sahibinden.com/ilan/emlak-konut-satilik-nazif-gayrimenkul-den-beydagi-tokide-satilik-2-plus1-1131096553/detay,100,2+1,1100000,13 Ocak 2024,BattalgaziMerkez
SATILIK ULTRA LÜKS 3+1 DAİRE AC GOLD GAYRİMENL DEN,https://www.sahibinden.com/ilan/emlak-konut-satilik-satilik-ultra-luks-3-plus1-daire-ac-gold-gayrimenl-den-1140436592/detay,170,3+1,2950000,13 Ocak 2024,YeşilyurtKöyler
NAZİF GAYRİMENKUL'DEN ESKİ MALATYA ÇATYOL'DA SATILIK 3+1,https://www.sahibinden.com/ilan/emlak-konut-satilik-nazif-gayrimenkul-den-eski-malatya-catyol-da-satilik-3-plus1-1137555676/detay,165,3+1,2750000,13 Ocak 2024,Battalgazi
SEFA TOKMAK'DAN BOSTANBAŞINDA 3+1 SATILIK ARA KAT DAİRELER,https://www.sahibinden.com/ilan/emlak-konut-satilik-sefa-tokmak-dan-bostanbasinda-3-plus1-satilik-ara-kat-daireler-1147950608/detay,180,3+1,2600000,15 Ocak 2024,Yeşilyurt
AKIŞ GAYRİMENKULDEN ÖZALPERDE ANA CAD ÜZERİ SATILIK 3+1 DAİRE,https://www.sahibinden.com/ilan/emlak-konut-satilik-akis-gayrimenkulden-ozalperde-ana-cad-uzeri-satilik-3-plus1-daire-1144887950/detay,155,3+1,2550000,13 Ocak 2024,YeşilyurtMerkez
